Mon, 29 Nov 2021 11:13:30 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FROM products WHERE status='1' and auction_type='offline' ORDER BY product_id DE' at line 1 | 
Mon, 29 Nov 2021 11:13:54 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FROM products WHERE status='1' and auction_type='online' ORDER BY product_id DES' at line 1 | 
Mon, 29 Nov 2021 11:13:54 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FROM products WHERE status='1' and auction_type='offline' ORDER BY product_id DE' at line 1 | 
Mon, 29 Nov 2021 11:14:21 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FROM products WHERE status='1' and auction_type='online' ORDER BY product_id DES' at line 1 | 
Mon, 29 Nov 2021 11:14:21 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FROM products WHERE status='1' and auction_type='offline' ORDER BY product_id DE' at line 1 | 
Mon, 29 Nov 2021 13:04:34 GMT | ERROR | Model.log | Error: Incorrect time value: 'null' for column 'start_time' at row 1 | 
Mon, 29 Nov 2021 13:16:09 GMT | ERROR | Model.log | Error: Incorrect time value: 'null' for column 'start_time' at row 1 | 
Mon, 29 Nov 2021 13:17:46 GMT | ERROR | Model.log | Error: Incorrect time value: 'null' for column 'start_time' at row 1 | 
Wed, 01 Dec 2021 07:12:35 GMT | ERROR | Model.log | Error: Incorrect time value: 'null' for column 'start_time' at row 1 | 
Wed, 01 Dec 2021 08:03:34 GMT | ERROR | Model.log | Error: Incorrect time value: 'null' for column 'start_time' at row 1 | 
Mon, 27 Dec 2021 08:05:11 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'Concat(1, CASE WHEN sub_category_img  != '' THEN  Concat(sub_category_img) end) ' at line 1 | 
Mon, 27 Dec 2021 08:05:11 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'Concat(2, CASE WHEN sub_category_img  != '' THEN  Concat(sub_category_img) end) ' at line 1 | 
Mon, 27 Dec 2021 08:05:11 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'Concat(5, CASE WHEN sub_category_img  != '' THEN  Concat(sub_category_img) end) ' at line 1 | 
